asin,helpful,overall,reviewText,reviewTime,reviewerID,reviewerName,summary,unixReviewTime
B00I2GZRLG,"[0, 0]",4,"Lost in You by Sommer Marsdenis a sweet yet passion-filled romance between two unlikely lovers. Clover Brite and Dorian Martin come from completely different worlds, but neither can resist their smoking hot desire. Both are carrying their fair share of emotional baggage and their promising relationship is threatened by Clover&#8217;s insecurities.Although Clover is the project manager for a renovation of one of Dorian&#8217;s properties, the two meet for the first time during a super-storm. Trapped at the mall by the weather, there is an immediate attraction between them. Clover is quite flustered at first, but Dorian soon puts her at ease and pretty soon the two are indulging in some scorching hot sex. But once she and Dorian return to real life, Clover&#8217;s issues jeopardize their fragile relationship.Insta-lust is rarely a firm foundation for a new relationship and in Lost in You, Clover and Dorian learn this difficult lesson fairly quickly. They are likable characters in the beginning, but once reality sets in, they become quite frustrating at times. Clover is young, but she has a heightened sense of responsibility which is a good thing for her career, but this spells disaster for her personal life. She also has unresolved issues stemming from her childhood and coupled with her awareness of the social differences between her and Dorian, she is quick to assume there is no future for them.Dorian is handsome, charming and refreshingly down to earth. He is in his mid-twenties and he is working hard overcome his playboy, party image. He never comes across as a snob or class conscious, so Clover&#8217;s reaction to the differences between them has no basis in reality and he never gives up on trying to convince her to give them a chance. He always remains a likable character but his pursuit of Clover becomes a little manipulative at times. It is a real turning point when he finally stops pursuing Clover and leaves the future of their relationship in her hands.Although Dorian and Clover are sometimes exasperating, the secondary cast of characters is superb. Clover&#8217;s grandmother and surrogate aunt Brani are absolutely wonderful. Their scenes are warm and witty and neither of them put up with Clover&#8217;s negativity.  Older and wiser, their advice to Clover is spot on and thankfully, she finally begins to listen to them.Sommer Marsden beautifully redeems both characters into well-rounded, appealing characters and Lost in You concludes with a highly romantic and deliciously steamy happily ever ending that readers are going to love.I received a complimentary copy for review.","06 10, 2014",A3RHTYOGSITLWN,"K. Branfield ""Book Reviews & More by Kathy""",Lost in You,1402358400
B00JZ6QL0I,"[0, 0]",5,"When I first saw the title of this book, &#34;how to get rich with the 3-D printing business from home&#34; I found it a bit humorous because I cannot envision getting rich through 3-D printing from home. So I read it. And I was surprised at the fact that it really went into details of building a business and not just 3-D printing. I know from my experience and just seeing and hearing people around my city the that 3-D printing is becoming a popular business and the market is growing. Therefore, if you set up your 3-D printing business correctly, there is a very good chance that you could be very successful at it.","05 18, 2014",A2G4WMA9CSB6QS,MGM,First laughed and then smiled,1400371200
B00A204GNA,"[0, 0]",4,Lots of good insight; really practical information that'll help me a lot to take care of my 1-year-old while I work at home.  =),"11 13, 2013",A3FERHNT99YLB0,Elizabeth Chen,Practical Insight,1384300800
B00GLOJ58W,"[0, 0]",5,"I absolutely loved this story!!!! I loved keep me still and when I noticed this novella I was thrilled to read it! I wasn't disappointed at all!! It was such a roller coaster of feelings and emotions!! And riding it out with the characters was absolutely amazing!!! What a great end for this series! It was sweet, sad, annoying, and utterly beautiful!!! Well don't Casey Quinn!!!","11 26, 2013",A2R3VAGCIFTZUZ,"Amazon Customer ""Honesty1010""",loved!!,1385424000
B00597RST0,"[0, 1]",5,I really enjoyed escape. I really liked the direction that the author took the story in. I'm looking forward to the next book.,"03 21, 2012",A26LQYYGFW3NLT,Mimi diva,Still great,1332288000
B00697UWA6,"[1, 2]",5,"This is a new author for me, but it is one I am glad I found. This book was so good. I enjoyed it as much as I do reading King or Koontz even though it is completely different from their writing. I hope they continue writing. I am now reading part 2 and am enjoying it just as much.It keeps you on edge just enough but not too much to make you aggravated.I would recommend this book to everyone who enjoys this type of book.","04 10, 2013",A3EYPCW1UI9VNY,cessnagirl,Awesome,1365552000
B00JTYXRSK,"[1, 1]",5,This is a really sweet love story and the kind of story you will read more than once.  Wes and Callie are so sweet with each other and you know almost from the beginning that they are soul mates.  The ride to their HEA is a good read.,"07 18, 2014",AKOLD2E17G0G0,Nancy,Love Story,1405641600
B00AR3O6OG,"[0, 0]",4,"I really, really liked this novella!! The best part of this book.....LAYLA WASN'T IN IT LOL :)) this book was totally from Ollie's point of view!! It made me love Ollie even more!! I love his realness, that he was angry after what that hussy done 2 him LOL! We got 2 experience all the different emotions he was feeling it made u want 2 root 4 him!! I also liked the supporting characters, Mel & Amy! They are nothing like Layla, actually anyone who isn't Layla in this book I liked LOL only thing I couldn't take Mel's & Amy's relationship seriously, it was like it was thrown together!! They r better as BFFs! And Ollie, u naughty, naughty boy u!!!! He's a slut, and I love it!!! He stopped his whoring ways 4 Layla, which made me know he truly loves her! Great book!! :)","04 12, 2013",A31URM7SS8IR2Y,Romantic1hearts,I loved it!!!,1365724800
B00I1JP1VU,"[0, 0]",5,This was a great book. M.s. Anita is a rider I loved her loyalty to her family but she needed to realize when she was in over her head overall great job Kierra,"02 15, 2014",A1GUNN6NH30RTD,DIVA,A queens checkmate,1392422400
B00I6BTALK,"[2, 2]",5,"These stories are about people that have super powers, they're &#34;infected&#34; is the term the public uses for them. Each book highlights one of the characters, but you'll get to know them all as it's one story line. Some are super strong, or fast, maybe they project a feeling onto others. They all have a first mode that they have to cope with, be it greed, shyness, depression or any of the common negative emotions we all have.Very well written, the books draw you into the lives of each of the people, and you will root for them and feel their pain and anguish when things are hard, or feel joy and happiness when things are going well. I enjoy how comedy is thrown in when appropriate and it gives me a smile or giggle.I bought this set for my daughter because it's SUCH a GREAT deal and I know she will enjoy them as much as I did. I recommend you get them while Mr. Power has them on sale!!!!!","02 2, 2014",A1C8BD59LDD7XK,"Amazon Customer ""Marcia A""",Excellent series!,1391299200
B008F8H14W,"[0, 0]",5,"Captivating, flows well, strongly recommend to others, downloaded based on reviews was not disappointed.  Alyssa Kress rocked it...Will be looking for more titles from her","05 8, 2014",A3I1XHJFA537R4,Anonymous,Very good,1399507200
B00F2NOMRC,"[4, 4]",5,"This was an engrossing read. It's not normally along the lines of what I read, but the description of the story was enticing. I enjoyed it and the sadly warped ending. Never trust an uptight Nanny! I would recommend this story and would read from from this author.","06 13, 2014",A3KI93AT8FAXI1,Lisa,A perfect Nanny.,1402617600
B00CRE9CSI,"[0, 0]",5,"There are very nice pictures and a lot of information about butterflies for kids (and adults) in this picture book. Kids will enjoy this book and learn a lot about them when they read it. After all, who doesn't love to see pictures of butterflies?","07 4, 2013",A2NTCGJEDUK466,"Michael Joshua ""Grandpa's Heart""","Nice, informative book about butterflies",1372896000
B00I10EO0I,"[0, 0]",5,"All I have say is ready the other reviews, because this novel had me at page one. Azure had me at &#34;Meet Me.&#34; This book isva emotional roller coaster ride that will not disappoint.","05 16, 2014",A3W3VGYD86KKW0,"Monique' Ridenour ""Mo'Joi""",Broken,1400198400
B00ITTMGZG,"[0, 0]",4,Where do I begin... I really liked how this book started out. I don't think we as readers would have totally got Lucy's story other wise. This is one of those books were you just know how it will end but the ride to get there is totally worth it. There were some twist and turns in the plot that threw me. I love when an author can get me like that. It makes the read that much more entertaining.I loved Knox. The kind of man that doesn't run away screaming. He stuck with Lucy even when she did reveal her past. When Lucy does decide to let Knox in the story really grows. I loved it. It was incredibly hard to put down. I would highly recommend this book to any. It is the kind of read you curl up with and have a huge smile on when you finally close it.,"03 10, 2014",A10DZ0VS7INN49,Twin Opinions,Leann's review,1394409600
B007B77U8A,"[3, 4]",5,"This was a really great book, I would recommend it to anyone who likes sci-fi and adventure. My husband and I read it together, which is saying a lot to get a man who is glued to espn to read... very well written.","05 17, 2013",A1JFOS2HR4XYQT,"harmony bliss ""booksie2""",hooks you right away,1368748800
B00AA9K9V6,"[0, 0]",3,"This book had a great story to tell.  Lovely characters, historical features.  Too many spelling errors, lousy editing, got boring in the middle.  Was going to put it down but thought it might get better.  Maybe something got lost in translation.","04 3, 2014",A4B87OAIHAJ1C,gibbsjacker,Great Story but.....,1396483200
B00GK6UPPS,"[1, 1]",5,"Blood Sucker: A Paranormal Romance has a great story line. A love triangle between  a college senior starting a new life as a vampire, her jack ass maker and a human. Well done Susan G. Charles.","11 23, 2013",A2ELEHCL7GQOOE,Avid Reader,A great paranormal love triangle,1385164800
B00K4BFOTW,"[0, 0]",5,"I just played a game on a beach overseas and while I could run with the other players I had no idea what to do once the ball came to me!! this book was recommended to me by a friend and now I'm excited to learn and get better, nice guide for anyone who wants to learn the game","05 7, 2014",A36FSRUV8SF3HF,Nick J.,Great guide for soccer lovers!,1399420800
B004UHLJNG,"[1, 1]",5,The drama continues with Detective Marcella and Lilith. A good read. Donovan's writing is easy on the eyes and entertaining. Very enjoyable. Great series.,"08 13, 2012",A3H6N791IT7B2L,witchraven,THE SPELL CONTINUES,1344816000
B00BZW5HGY,"[0, 0]",4,"Not the type of book I would normally read..it held my interest,  and  like most apocalyptic stories it ends with you thinking ""and then what happens?""","05 16, 2013",A2PB8POD9WCQX0,Lmhufana,Another way to end life as we know it.,1368662400
B006HW44RK,"[1, 1]",5,This was an emotional journey.  I loved how the story was told from different points of view.  Can't wait for next in series!,"12 26, 2012",A3KFCP8YMMN5H1,Luv 2read,Great story,1356480000
B00FUWKLHU,"[0, 0]",4,"Searc has hid his darkness all his life. When he is forced to show it he leaves his home to get away from those that fear him. He comes across a girl in danger and saves her. He isn't done saving her even not knowing anything bout her he will do anything to keep her safe. Elena is on the run as well. She has to keep her past a secret and now she is on the streets. She is trying to find a place to go where she can live her life. She doesn't really know why bit she trust Searc. They end up in a dangerous place and have to tell a lie to keep them both safe. There is a killer on the loose and Searc seems to be getting framed. Elena is in danger as well as her past is close to catching up to her. They have to work together and learn to trust each other to be safe.Searc is a great guy who is very wonderful about protecting Elena. He has a lot of control. He has a big power but is afraid to let anyone know about it or that it is good. Elena is a tough girl who while does need help, she also at times can be quite handy. She is innocent and hates to lie but has problems trusting people. I liked both of them.This kept my attention as I never was sure who the killer was. I kept thinking ok I know but I was wrong. There is plenty of suspense that keeps you turning pages. I love how Searc is afraid to use his power and never wants to use it unless he has to. There is tons of sexual chemistry between him and Elena. Elena even if she is innocent knows she wants Searc. She does trust him and you can tell she is just afraid to tell him all. I love seeing these two together and how much they care for each other in a short time. I would recommend this to anyone who likes a magical read with a great plot.","07 1, 2014",A1CUXURVHSE9QP,PamM,Love Searc!,1404172800
B00IQOFSDG,"[0, 0]",3,"So happy result were a happy ending.  For awhile thought it might be a sad one,but so glad they found each other and in the end as a result of their strong bond and love they were able to get past the rough times.","07 19, 2014",A3KGVKVGID1Z84,Marsha Stromberg,Crazy in love,1405728000
B00FXAG6MS,"[0, 0]",5,I loved the story.  I just wished it didn't stop where it did.  I guess I have to keep reading to find out what's happening with Ashly and Jake.  Bought the next book.  Can't wait to get started.,"12 17, 2013",A2O4S5HYBY50L4,Joyce S. Onoda,My Despicable Ex,1387238400
B00AMQ6U3S,"[0, 0]",5,"This was a great novella that was filled with loads of action despite the number of pages. I loved the description and the stroyline was quick, simple to understand and get lost in. I wish there was more!The novella had was a great cross over between Gallagher Girls and Heist Society which I loved and even though I have only read the Gallagher Girls series it didn't effect the reading experience. I will definitely be checking out Heist Society sooner than I expected though (they've been on my wish list for a while).","03 11, 2013",A13CMG4T0EVF8A,Sienna @ Lost to Books,Loved it,1362960000
B00A8P66OG,"[1, 1]",5,"The beginning of the book grabbed my attention immediately from the start. I won't give it away, but suffice it to say that if we were going through a similar trial of our own, it would be almost too difficult to bear. In addition to that, the heroine, Katie is asked to perform an almost unspeakable task in the midst of her pain. That is a turning point for her, and shows her mettle and her character.The introduction of all of the other characters brought some fascinating layers to the story. These would be people that I would love to be around, and have around me when going through hard times. And times were hard in the 1800's. People needed each other back then. They weren't isolated like we are today, and through good times and bad, your friends, neighbors, and family were there for you. I found this enjoyable to read about.The author also skillfully wove moral values throughout without being preachy. Yes, there were Bible verses, but they applied to the story and also gave the book a ""soul"", so to speak, that I have not found in reading other romance novels. I appreciated this, and found myself being drawn in by the characters, their lives, and the tragedies and triumphs that linked them all together.Well written, and full of edifying words--all the way to the satisfying end.","05 17, 2013",A2IJI1NDUT9LNU,floridabreezes,A Romance Novel with a Soul,1368748800
B005GXN8CS,"[0, 0]",5,"This is a truly unique book. It is not like the other historical books I read, the story flowed nicely, it made me laugh and cry and hurt for her and it made me fall madly in love with the Lord. Great book recommend this book to everyone.","10 26, 2013",A1YKRF4OES4OOD,Tricia Anderson,Fantastic,1382745600
B00KQA8Y7K,"[2, 2]",5,Thankyou skyla this series was amazing totally loved it so readers out there just one click on the consumed series you won't regret it at all.,"06 7, 2014",A15TIRKST5JWSB,Coco,more than 10,1402099200
B008GBCCMO,"[3, 3]",5,"When we start Vampire Betrayed, we find a couple in bed having sex.  Interesting way to start the story.  The two main protagonists are Joaquin, who is a vampire, and Ariana, a human.  The key to the beginning of this story is that Ariana has no idea that Joaquin is a vampire.  She knows he has some strange habits, but their lovemaking was great, and he was wonderful with her.  But then Ariana begins to get strange emails from someone unknown with comments about the man she is sleeping with....the man you are with isn't who you think he is.....Ariana pressures Joaquin to tell her more about himself, and he becomes suspicious and finds out about the emails.  He finally tells her that he is a vampire, and she laughs.  There is no such thing as vampires.  So she thinks..... Joaquin has feelings for Ariana, more then he has ever had for a human woman, and he asks her if she trusts him.  She leaves to take a walk, and that will be the last time either see each other for 6 onths.What happens thereafter is very exciting.  Charon is a powerful vampires, who wants to rule the world. She also has magical powers, given to her by a Shaman, making her even more powerful.  Charon wants Joaquin dead, as he is the only person standing in her way of taking control. She befriends Ariana, under the guise of protecting her against Joaquin, and then uses her powers to make Ariana think she has been beaten, and Charon  saved her.  Charon tells Ariana that she is a vampire hunter, and wants her help to save the world.  Using her illusions on Ariana to hide the fact that Charon converted her to a vampire, and trains Ariana to be a vampire hunter.Joaquin of course is still looking for the missing Ariana, with help from his friend Devlin.  Over the next few months, it becomes apparent that with the rise of vampire slayings, Charon has converted Ariana.  Of course, Joaquin can't understand why Charon is having her kill vampires, but over time he will see it is a plot to kill him.This was an excellent story, a different type of theme with Ariana not knowing what she was due to the illusions, and becoming an excellent fighter.  The story was very exciting, especially the last half of the book.  Charon was a good villain, and Ariana turned into a great heroine.  I really liked Joaquin, who really loved Ariana and would do anything to save her.  Great story, the best of this series so far, with excellent characters and a super ending.","08 1, 2012",A32HPEJOM37MF4,"Barb thereadingcafe ""Barb""",Wonderful and fun short story.,1343779200
B007GU0Y3A,"[0, 0]",4,"I enjoyed reading this book.  Never knew from one minute to the next what plot line the story would take.  Kept me guessing, which I like.  Different and interesting!","07 9, 2013",A2WDNRHWHEY8IH,atabarac,DIFFERENT!,1373328000
B00LAK1BDY,"[0, 1]",5,"Cary Whitmore is a single gay man with a three year old he's raising on his own after his long term partner left him early on in the pregnancy. They had made the decision to have a child, found the surrogate and gotten pregnant. But Cary's ex left him alone and struggling for reasons that reveal themself in the book, which just make you hate the guy even more. Cary's number one focus is little Gus and then his business the Dog Barkery. He hasn't dated since before Gus was born, and rarely hooks up. But there is something about the tall blonde that volunteers at the animal shelter that piques Cary's interest. When he meets his best friend out at a local gay bar for a drink, the last person he expects to see is Heath, the spine tingling sexy man from the shelter.Heath Cummings swings both ways, he's the if I'm interested in them the plumbing doesn't matter, type. Having married his best friend when they were young, dumb and got knocked up... only to loose the baby and almost his best friend, he has a strict 'no children' policy for the people he plays with. Yes, I said plays with, because Heath is out for numero uno only and the words commitment, love, and emotion are not in his vocabulary. That is until one tall, dark and handsome single father gets under his skin.A chance encounter ends with Cary in Heath's lap sans clothing at the Barkery, in Cary's office, and the two decide to use each other for weekly tire rotations. The sex is off the charts amazing, but soon both men find themselves getting more attached than the situation calls for. Cary is worried about bringing anyone into Gus's life, or falling in love with an emotionally unavailable man that will no doubt break his heart in the end. Heath is completely blown away by Cary, Gus and the every growing feelings he has for both of them. He didn't think he was capable of the love that he is starting to feel. And it scares the living crap out of him, literally. But communication is not either of these men's strong suit from the start, and one miscommunication too many threatens to implode their already fragile &#34;friendship&#34;.What an adorable, slightly angsty, definitely sexy, just a little quirky, sarcastic and emotional love story this was! I LOVED the inner monologue playing in Heath's mind at the start of the story. Boehme has this knack for creating realistically flawed characters and impossible relationships that turn into down to earth, good old fashioned love stories. Both men struggle for various reasons throughout, some of their reasons align while they also have very different reasons to doubt not only their ability to love, but to be loved as well. Boehme brought the emotions and the passion to the pages and had me hooked from the start and praying these two would pull their heads out of their {insert appropriate word here} and just commit to each other already!This is a must read for those that like a story that makes you &#34;feel&#34; because Keep Swimming will keep you reading, and feeling until the end. I was standing up in my bed screaming at my kindle toward the end, and then I was laughing and fist pumping the air. I seriously got into this book.","06 30, 2014",AVY8JRFPVWQ1I,"Tams ""Avid reader, reviewer, blogger and budd...",Feel Good Read!,1404086400
B004WEKR1W,"[0, 0]",4,"I just finished The Strange Case of Finley Jayne and liked it enough to buy the next book, The Girl in the Steel Corset. A few rough edges but a good old fashioned hold your attention storyline with a lead character I liked and would like to know more about. Luckily, it's obvious already that Finley should have some amazing tales ahead of her.  A fun, but not silly, read - if you enjoy the Carringer books, you'll like this.  Dern good reads are rated for being exactly that - not for being great literature in the grand scheme of high muckety muck.","10 31, 2011",AA6UDW8LST4AZ,"P. M. Scogin ""old broad avid reader""","Good storyline, fun, a touch of dark mystery - a dern good read.",1320019200
B00JFHKE1Y,"[0, 0]",4,"I read wicked rush first so this book answers questions eluded to in the first book. I love these characters and am not so patiently waiting for the 2nd book, our perfect love coming in July. Jessie Evans is my new favorite author!","05 18, 2014",A2LMPW60TIJOIG,K.Banks,great read,1400371200
B007VA4FTO,"[0, 0]",5,"A short story set in the late 1800s concerning a cowboy, a woman, a mule and a chicken. Funny and interesting. I just love the mule in these stories","08 29, 2013",A11KOY4E1RJZ8S,road warrior,Funny and fun!!,1377734400
B00H3I2172,"[0, 0]",4,"HOLY FRIGGING MATRIMONY (TANGLED 1.5) by EMMA CHASE&#65279;Drew Evans is back and with a bang!Sorry to disappoint you but we this will not give you the full Drew Evans experience but I will get whatever Emma Chase gives me. Okay. I am a bit disappointed because I didn't expect this book to be a novella. I really thought it's going to be a full length book but it was not. Still, Emma gave the fans of the series the wild side of Drew Evans. That boy is definitely needs some ass kicking. The ruckus he brought in this book was both funny and embarrassing. I want to see the day that he will be waiting in the altar and looking so p*ssy whipped. But I also want him to suffer, just a bit. It seems like he is not ready to get married and settle down and I want to see him work his ass off to convince Kate that he is ready and wants to be a husband.Yes, it was short but at least Emma gave us something. Right? I cannot wait to read &#65279;Twisted &#65279;& &#65279;Tamed &#65279;next year!&#9829;&#9829;&#9829;&#9829;","12 23, 2013",A1TQYAEFWXVJWV,xoxopimpimxoxo,Short but worth it.,1387756800
B00KVOTDRQ,"[0, 0]",5,"This series keeps getting better and better. However still needs better editing -- grammatical errors throughout this series are distracting! I loved the story of leading scorer Phillip Anderson bringing his troubled 16-yr old niece Claire home to Nashville with him after his mother and sister die. He thought he was doing the right thing, he was a kid himself when he got out & he had no idea the horrific life Claire lived while he was building his hockey career. Then we have dancer Reese Allen, who seems so cold and aloof, but she's really broken after finding out the love of her life crushed her young heart and dreams, prompting her to leave her blossoming dance career in NY to return home to Nashville and open her dance studio. Reese and Phillip are off limits to each other, but after a ONS, can't get enough of the other. I love their friendship and the banter between them. Phillip is such a wonderful guy but so terrified Reese will bolt if he confesses he wants more with her. I really enjoyed the relationship between Reese, Phillip and Claire, how they came together as a family. Yeah, I'm a huge Assassins fan!","06 17, 2014",A2XK5VAA4Z0722,Tracey475,4.5 stars for Phillip & Reese - best yet in this series,1402963200
B00CX5V74I,"[0, 0]",5,"This book was amazing. I loved how Avery was the player, not too many books out there like that. I felt like I knew the characters. I really wish there would have been an epilogue. 5 stars,from me","10 13, 2013",A23VKINWRY6J92,Book_Lover79,Awesome,1381622400
B00IGBVESM,"[0, 0]",5,"An interesting story that had me intrigued from start to finish. This is a suspenseful thriller of good versus evil and one woman's discovery that her life is not what she thought it was. Josephine is thrown into a world she didn't know existed, doesn't understand and definitely wants no part of. A fast paced read full of twists and turns throughout.Gifted a copy for a review","03 16, 2014",AFJO0OZZP1C67,tkdmom,SUSPENSE PACKED!!!!,1394928000
B007M5H47I,"[0, 0]",5,I WILL BE USING THESE  RECIPES.  I AM GLAD TO NOW  UNDERSTAND ABOUT HUMUS. BOOK IS FRIENDLY IN TONE AND WELL WRITTEN.,"06 23, 2013",A26YRIYICNO8YZ,"Loretta Humble ""lhumble""",DEFINITELY A KEEPER,1371945600
B00701D9LO,"[0, 0]",4,"So, this isn't my sort of novel. At all. However, the writing was simple and yet clever and the store was about what you would expect from a novel like this. It wasn't fully comprehensive, and to be honest the resolution in the story is NOT where you would expect the resolution to be. The ending leaves more questions than answers, but the questions that are answered are the ones you need to have answered by the end of the book. Like what in the Hell is a Truth Rabbit?The novel offers insight into a cop's world while leaving you in the dark. It shows that not all crimes are solved and not all cases go the way they should. It's worth a read, it's a quick novel and Schaffer knows what he's making noise about.","11 28, 2013",A4DO46Z3E2706,S. Grant,Dark With An Unexpected Ending,1385596800
B00B41AOKA,"[1, 2]",5,"I wanted to read this book because I wanted to get a better understanding about autism in general. Mainly because I have some friends with autism.I think this is a great resource for anyone who want to learn more about autism. This describe many different forms of autism, with there symptoms and causes.If you expect your child might have autism, I think you have a great resource here to understand your child better, which will let you help him better. It goes in dept in all subjects like treatments, medication and how you best can deal with problems. Recommended!","01 25, 2013",A3GU9WILKSYQPU,B. van Dijk,Better understanding of people with autism,1359072000
B00HDWAZ5I,"[1, 4]",2,Perhaps Miss Gross wrote this as a form of therapy.  Perhaps it made her feel better to have done it.  I hope it has made her feel better.  Personally I think she should &#34;put on her big girl panties and deal with it&#34;.  There is a time in your life that you just learn from your experiences and go on from there.  This book seemed like a pity party to me.,"01 22, 2014",A1Q22ENA379GLW,rosanne,not impressed,1390348800
B00I8X696K,"[0, 0]",5,Imagine being in the army & know you can't show love or affection to another when you work with them & then a baby is abandoned & you fall for it @ have to give it up.,"04 7, 2014",A3ES0XIED7769J,Roxanne,(The Army Doctor's) 5.  The army Doctor's Valentine's Baby,1396828800
B005A7RA88,"[4, 4]",4,"Loved this delightful short story. The characters of Freddie and Samantha are very realistic. It was refreshing to read about regular looking young people with insecurities getting together. Freddie is a geek who looks like one, and Samantha is in a lousy relationship because she does not believe she deserves more. In comes Freddie who treats her better than she has even been treated, which wakes her up. Theirs is an unlikely friendship which blossoms into something beautiful. I recommend this story.","01 10, 2013",A3Q3B6C8LRSCQZ,SEN Books,A delightful short story.,1357776000
